syntitem,pointitem,offset
hsi_7_0719_209_003_main__ggpt__8,st1.14865_15137_1.26stretch,0.0021999999999999797
hsi_5_0718_211_003_main__ggpt__17,st1_mirrored.23273_23656_0.94stretch,0.0050000000000000044
hsi_5_0718_227_002_main__ggpt__32,st1.8087_8452_1.22stretch,-0.5173999999999999
hsi_6_0718_222_001_main__ggpt__38,st1_mirrored.27461_27769_0.95stretch,-1.041
hsi_7_0719_210_001_main__ggpt__39,st1.8949_9448_0.86stretch,-1.0789999999999997
hsi_7_0719_210_002_main__ggpt__52,st1_mirrored.14865_15137_1.24stretch,0.00019999999999997797
hsi_7_0719_211_002_main__ggpt__54,st1.9745_10055_0.86stretch,0.0048000000000000265
hsi_6_0718_210_001_main__ggpt__56,st2_mirrored.5294_5623_0.98stretch,0.0040000000000000036
hsi_4_0717_211_003_main__ggpt__65,st1.7758_8082_1.09stretch,0.005300000000000082
hsi_4_0717_209_001_main__ggpt__69,st1_mirrored.22983_23268_0.99stretch,0.01980000000000004
hsi_5_0718_211_003_main__ggpt__70,st1.27461_27769_0.94stretch,-0.35339999999999994
hsi_6_0718_222_003_main__ggpt__71,st1.45958_46512_0.81stretch,-1.5012999999999999
hsi_5_0718_222_002_main__ggpt__72,st1_mirrored.9745_10055_0.89stretch,-1.0737999999999999
hsi_7_0719_210_003_main__ggpt__76,st1_mirrored.7376_7753_1.13stretch,-0.5190000000000001
hsi_4_0717_227_004_main__ggpt__77,st2.11976_12272_1.16stretch,0.03639999999999999
hsi_4_0717_210_001_main__ggpt__78,st1_mirrored.27461_27769,-0.2899999999999999
hsi_5_0718_222_003_main__ggpt__81,st1.13491_13941,-0.9049999999999999
hsi_5_0718_209_001_main__ggpt__84,st2_mirrored.1527_1810,-0.6739999999999999
hsi_3_0715_210_011_main__ggpt__86,st1_mirrored.28025_28393_1.33stretch,-0.8093999999999999
hsi_4_0717_210_003_main__ggpt__87,st1.9745_10055_1.32stretch,-0.5583999999999999
hsi_7_0719_211_004_main__ggpt__88,st1_mirrored.8949_9448_0.94stretch,-0.9179999999999999
hsi_6_0718_222_001_main__ggpt__91,st2_mirrored.5294_5623_1.31stretch,0.03950000000000009
hsi_3_0715_227_001_main__ggpt__93,st1_mirrored.11922_12193_0.87stretch,-1.4120999999999997
hsi_4_0717_211_001_main__ggpt__99,st1_mirrored.20375_20767,0.03499999999999992
hsi_5_0718_210_002_main__ggpt__100,st1.27461_27769_1.07stretch,-1.1686999999999999
hsi_7_0719_222_002_main__ggpt__101,st2.5628_6141_0.96stretch,0.020399999999999974
hsi_7_0719_210_002_main__ggpt__105,st2.3083_3415,0.0020000000000000018
hsi_7_0719_211_002_main__ggpt__107,st2_mirrored.3083_3415_0.91stretch,0.014599999999999946
hsi_6_0718_211_002_main__ggpt__110,st1_mirrored.9453_9745_1.04stretch,0.0024000000000000687
hsi_4_0717_211_002_main__ggpt__116,st2_mirrored.5628_6141_0.82stretch,0.007800000000000029
hsi_7_0719_227_002_main__ggpt__119,st1_mirrored.9453_9745_1.12stretch,-0.4767999999999998
hsi_5_0718_210_001_main__ggpt__121,st1_mirrored.13491_13941_1.09stretch,-1.1357
hsi_5_0718_211_003_main__ggpt__123,st1_mirrored.4446_4759_1.39stretch,-1.0910000000000002
hsi_6_0718_227_001_main__ggpt__127,st1_mirrored.14865_15137_0.86stretch,-1.3912
hsi_7_0719_210_003_main__ggpt__129,st1.17594_17971_0.81stretch,0.012800000000000034
hsi_4_0717_227_004_main__ggpt__130,st2.1527_1810,-0.3780000000000001
hsi_4_0717_210_001_main__ggpt__131,st1_mirrored.26421_26880_1.05stretch,-0.40249999999999986
hsi_6_0718_209_001_main__ggpt__150,st1_mirrored.9453_9745,-1.097
hsi_7_0719_222_002_main__ggpt__154,st1.38708_39256_0.91stretch,-0.5777000000000001
hsi_4_0717_209_003_main__ggpt__155,st2_mirrored.2316_2727_1.14stretch,-0.746
hsi_7_0719_211_002_main__ggpt__160,st1.7758_8082,0.009000000000000008
hsi_6_0718_210_001_main__ggpt__162,st2.5294_5623,0.02299999999999991
hsi_4_0717_211_002_main__ggpt__169,st2.1527_1810_1.25stretch,0.011499999999999955
hsi_6_0718_227_002_main__ggpt__170,st1.8457_8944_0.97stretch,-0.5983
hsi_5_0718_211_003_main__ggpt__176,st2.11976_12272_0.87stretch,-1.5011999999999999
hsi_4_0717_227_003_main__ggpt__181,st1.35000_35472_0.86stretch,-0.8422000000000001
hsi_5_0718_222_003_main__ggpt__187,st2_mirrored.11976_12272_1.27stretch,-0.9682
hsi_7_0719_211_004_main__ggpt__194,st1.17976_18360_0.92stretch,0.001000000000000112
hsi_7_0719_222_004_main__ggpt__196,st1_mirrored.16330_16795_0.95stretch,0.021499999999999853
hsi_7_0719_210_001_main__ggpt__198,st2.7431_7795_1.27stretch,-0.48120000000000007
hsi_5_0718_209_002_main__ggpt__200,st1.16796_17230_0.93stretch,-0.5646
hsi_4_0717_227_002_main__ggpt__202,st1.14865_15137_1.03stretch,-1.6664
hsi_5_0718_210_002_main__ggpt__206,st2.11976_12272_1.05stretch,-1.5379999999999998
hsi_4_0717_209_003_main__ggpt__208,st1_mirrored.25173_25609_0.98stretch,-0.47
hsi_5_0718_211_002_main__ggpt__209,st1.27774_28020_0.9stretch,-2.1
hsi_6_0718_211_002_main__ggpt__216,st1.9453_9745_0.86stretch,-1.3173999999999997
hsi_5_0718_227_001_main__ggpt__221,st2.7431_7795_0.92stretch,0.0048000000000000265
hsi_4_0717_211_003_main__ggpt__224,st1_mirrored.20375_20767_1.11stretch,0.010399999999999965
