Original	Transcript	Abair G2P	Abair source	Adjusted word (standardised)	Adjusted Abair	Rule
a		ə	l			ə → ∅ / v # _
a	è	ə	l			
a	ə	ə	l			
a	ᵊ	ə	l			
ach	ɑx	ˈah	l			
acú	ɔku	ˈakˠuː		acu	akˠu	
adharc	ˈne:rk	ˈeːɾˠkˠ	l			
ag	ə	ˈeɟ	l			ɟ → ∅ / _ # [+stop]
ag	ɪg′	ˈeɟ	l			
againn	ˈεiν′	ˈəgˠəɴʲ	l			
agamsa	èimsə	ˈəgˠəmˠsˠə	l			
agat	èit	ˈəgˠətˠ	l			
agat	ɛit	ˈəgˠətˠ	l			
agat	ɛjəd	ˈəgˠətˠ	l			
agus	ogəs	ˈagˠəsˠ	l			
agus	ɔgas	ˈagˠəsˠ	l			
agus	ɔges	ˈagˠəsˠ	l			
agus	ɔgəs	ˈagˠəsˠ	l			
aige	ɛg′ə	ˈeɟə	l			
air	er′ʔ	ˈeɾʲ	l			
air	èr′	ˈeɾʲ	l			
air	ɛr′	ˈeɾʲ	l			
am	ˈnɑm	ˈamˠ	l			
amach	əˈmax	əˈmˠah	l			
amach	əˈmɑh	əˈmˠah	l			
amach	əˈmɑx	əˈmˠah	l			
an	n	ˈəɴˠ	l			ə → ∅ / v # _
an	n̥	ˈəɴˠ	l			ə → ∅ / v # _
an	ə	ˈəɴˠ	l			
ann	o̤n	ˈaɴˠ	l			
annsin	n̥ˈʃɪn′	ˈaˈɴʲʃinʲ		ansin	əɴˠˈʃinʲ	ə → ∅ / v # _
annsin	ˈʃɪn′	ˈaˈɴʲʃinʲ				
anois	(ə)ˈnɪʃ	əˈɴˠiʃ	l			
aon	e:ˈn	ˈeːɴˠ	l			
ar	ə	ˈeɾʲ	l			
ar	ər	ˈeɾʲ	l			
ar	ɛr	ˈeɾʲ	l			
arais	əˈraʃ	ˈaɾˠəʃ		ar ais	ˈeɾʲ ˈaʃ	
araist	əˈraʃd′	ˈaɾˠəʃtʲ		ar ais	ˈeɾʲ ˈaʃ	
armaí	ˈɑrmʷi	ˈaɾˠəmˠiː				
as	ïs	ˈasˠ	l			
astoigh	əˈsdihʔ	ˈasˠtˠə		istigh	isˠˈtˠij	
astoigh	əˈʃdihʔ	ˈasˠtˠə		istigh	isˠˈtˠij	
atá	ə	əˈtˠaː	l			
atá	ətɑ:	əˈtˠaː	l			
atá	ˈtɑ:	əˈtˠaː	l			
ba	bo̤	ˈbˠə	l			
ba é	byje:	ˈbˠə ˈeː	l			
bachtadh	ˈbɑxdu	ˈbˠaɾˠtˠuː		bachta	ˈbˠaɾˠtˠə	
barraille	ˈbɑrəl′ə	ˈbˠaːˈɾˠaʟʲə		bairille	ˈbˠaɾʲʟʲə	
barraillí	ˈbɑrəl′i	ˈbˠaːˈɾˠaʟʲiː		bairillí	ˈbˠaɾʲəʟʲiː	
bascóid	ˈbɑsgɔd′ᶾ	ˈbˠasˠkˠɔdʲ		bascaed	ˈbˠasˠkˠedˠ	
beachóg	ˈb′ahɔg	ˈbʲahɔgˠ				
beag	ˈb′øg	ˈbʲogˠ	l			
bealtaine	ˈb′a:ltɪn′ə	ˈbʲoʟˠtˠənʲə	l			
bhachta	ˈwɑxdə	ˈwaɾˠtˠə	l+m			
bhachtadh	ˈwɑxdu	ˈwaɾˠtˠuː		bhachta		
bhaint	wï′nt	ˈwanʲtʲ	l			
bharraille	ˈwɑrəl′ə	ˈwaːˈɾˠaʟʲə		bhairille	ˈwaɾʲʟʲə	
bheireadh	vɛr′əd′	ˈvʲeɾʲuː	l			<eadh> → ədʲ / _ # pronoun
bhfaghaidh	ˈwɑ:	ˈweːiː		bhfaighidh	ˈwiː	
bhfeiceadh	ˈvɛk′u	ˈvʲecuː				
